[10102023104421][GymApp.Controllers.Log->AddToLog|Conectar][Abriendo conexion con BD]
[10102023104422][GymApp.Controllers.Log->AddToLog|DataReader][Ejecutando Query SELECT    (SELECT count(*) FROM TBL_CONTROL_PAGOS WHERE ID_ESTADO_PAGO = 2),    (SELECT count(*) FROM TBL_CONTROL_PAGOS WHERE ID_ESTADO_PAGO = 1),    (SELECT count(*) FROM TBL_CLIENTE)FROM DUAL Conexion ]
[10102023104423][GymApp.Controllers.Log->AddToLog|CargandoDashboard][Generando listado de operaciones [SELECT    (SELECT count(*) FROM TBL_CONTROL_PAGOS WHERE ID_ESTADO_PAGO = 2),    (SELECT count(*) FROM TBL_CONTROL_PAGOS WHERE ID_ESTADO_PAGO = 1),    (SELECT count(*) FROM TBL_CLIENTE)FROM DUAL]]
[10102023104423][GymApp.Controllers.Log->AddToLog|ReaderClose][Cerrando DataReader ]
[10102023104423][GymApp.Controllers.Log->AddToLog|Conectar][Cerrando conexion con BD ]
[10102023115401][GymApp.Controllers.Log->AddToLog|Conectar][Abriendo conexion con BD]
[10102023115405][GymApp.Controllers.Log->AddToLog|DataReader][Ejecutando Query SELECT USUARIO, PASSWORD, NOMBRES WHERE USUARIO = '' AND ESTADO = 'A'  Conexion ]
[10102023115405][GymApp.Controllers.Log->AddToLog|DataReader][Error en DataReader ORA-00923: palabra clave FROM no encontrada donde se esperaba Oracle Data Provider for .NET, Managed Driver    en OracleInternal.ServiceObjects.OracleConnectionImpl.VerifyExecution(Int32& cursorId, Boolean bThrowArrayBindRelatedErrors, SqlStatementType sqlStatementType, Int32 arrayBindCount, OracleException& exceptionForArrayBindDML, Boolean& hasMoreRowsInDB, Boolean bFirstIterationDone)   en OracleInternal.ServiceObjects.OracleCommandImpl.ExecuteReader(String commandText, OracleParameterCollection paramColl, CommandType commandType, OracleConnectionImpl connectionImpl, OracleDataReaderImpl& rdrImpl, Int32 longFetchSize, Int64 clientInitialLOBFS, OracleDependencyImpl orclDependencyImpl, Int64[] scnForExecution, Int64[]& scnFromExecution, OracleParameterCollection& bindByPositionParamColl, Boolean& bBindParamPresent, Int64& internalInitialLOBFS, OracleException& exceptionForArrayBindDML, OracleConnection connection, OracleLogicalTransaction& oracleLogicalTransaction, IEnumerable`1 adrianParsedStmt, Boolean isDescribeOnly, Boolean isFromEF)   en Oracle.ManagedDataAccess.Client.OracleCommand.ExecuteReader(Boolean requery, Boolean fillRequest, CommandBehavior behavior)   en Oracle.ManagedDataAccess.Client.OracleCommand.ExecuteReader()   en GymApp.Models.GlobalDB.DataReader(String query, OracleConnection conexion) en D:\Proyectos sistemas\GYM-BRO\GymApp\Models\GlobalDB.cs:línea 61]
[10102023115815][GymApp.Controllers.Log->AddToLog|LoggeoUsuario][Error loggeando al usuario Referencia a objeto no establecida como instancia de un objeto. GymApp    en GymApp.Models.AppModels.UsuarioModel.Loggeo(entUsuarios user) en D:\Proyectos sistemas\GYM-BRO\GymApp\Models\AppModels\UsuarioModel.cs:línea 35]
[10102023115923][GymApp.Controllers.Log->AddToLog|Conectar][Abriendo conexion con BD]
[10102023115926][GymApp.Controllers.Log->AddToLog|DataReader][Ejecutando Query SELECT USUARIO, PASSWORD, NOMBRES WHERE USUARIO = 'ADMIN' AND ESTADO = 'A'  Conexion ]
